t,fr,fl,br,bl,pitch,roll,yaw,pp,pi,pd,rp,ri,rd,ch3
58950,1057.4531,1063.8217,1060.1782,1066.5468,2.0625,4.7500,36.0000,-0.4125,-1.0750,0.1250,-0.9500,-2.2344,0.0000,1362
58990,1057.3156,1063.7219,1060.2780,1066.6843,2.0625,4.7500,35.8125,-0.4125,-1.0687,0.0000,-0.9500,-2.2531,0.0000,1362
59031,1057.4375,1063.3312,1060.6687,1066.5625,2.1250,4.6250,35.6250,-0.4250,-1.0656,-0.1250,-0.9250,-2.2719,0.2500,1362
59071,1057.5781,1063.4467,1060.5532,1066.4218,2.1250,4.5000,35.4375,-0.4250,-1.0625,0.0000,-0.9000,-2.2844,0.2500,1362
59110,1057.4594,1063.2968,1060.7031,1066.5405,2.1875,4.3750,35.2500,-0.4375,-1.0594,-0.1250,-0.8750,-2.2938,0.2500,1362
59150,1055.4687,1061.2624,1058.7375,1064.5312,2.2500,4.2500,35.1250,-0.4500,-1.0594,-0.1250,-0.8500,-2.2969,0.2500,1360
59190,1054.6219,1060.3531,1057.6468,1063.3780,2.2500,4.1250,35.0625,-0.4500,-1.0625,0.0000,-0.8250,-2.2906,0.2500,1359
59230,1053.5250,1059.1688,1056.8311,1062.4749,2.3125,4.0000,34.9375,-0.4625,-1.0656,-0.1250,-0.8000,-2.2719,0.2500,1358
59271,1052.5562,1058.3624,1055.6375,1061.4437,2.3125,3.9375,34.8750,-0.4625,-1.0781,0.0000,-0.7875,-2.2406,0.1250,1357
59311,1051.5937,1057.5749,1054.4250,1060.4062,2.2500,3.9375,34.8125,-0.4500,-1.0906,0.1250,-0.7875,-2.2031,0.0000,1356
59351,1051.3657,1057.2656,1054.7343,1060.6342,2.3125,3.9375,34.8125,-0.4625,-1.0969,-0.1250,-0.7875,-2.1625,0.0000,1356
59389,1052.5187,1058.6125,1055.3874,1061.4812,2.2500,4.0000,34.8125,-0.4500,-1.1094,0.1250,-0.8000,-2.1219,-0.1250,1357
59430,1053.5468,1059.3156,1056.6843,1062.4531,2.2500,4.0000,34.8750,-0.4500,-1.1187,0.0000,-0.8000,-2.0844,0.0000,1358
